"メーカー品番","仕入先","Digi-Key品番","客先参照品番（任意）","参照名","梱包形態","部品状況","数量","単価","金額","在庫数量","メーカー標準リードタイム","商品概要","RoHS ステータス","鉛フリーステータス","REACHステータス"
"1051330001","Molex","WM9734CT-ND","2","","カット テープ（CT）","アクティブ","2","129.00000","¥258","31052","10 週間","CONN RCPT USB2.0 MICRO B SMD","ROHS3対応","鉛フリー","REACHの影響なし"
"M40-3200645R","Harwin Inc.","952-1671-1-ND","3","","カット テープ（CT）","アクティブ","2","235.00000","¥470","726","9 週間","CONN HEADER SMD 12POS 1MM","ROHS3対応","鉛フリー","REACHの影響なし"
"SFM210-LPSE-D03-SP-BK","Sullins Connector Solutions","S9388-ND","4","","チューブ","アクティブ","4","245.00000","¥980","3291","5 週間","CONN HDR 6POS 0.039 GOLD SMD","ROHS3対応","鉛フリー","REACHの影響なし"
"ERJ-8BWFR010V","Panasonic Electronic Components","P.010AUCT-ND","5","","カット テープ（CT）","アクティブ","10","63.60000","¥636","61956","13 週間","RES 0.01 OHM 1% 1W 1206","ROHS3対応","鉛フリー","REACHの影響なし"
"ERJ-8BWJR100V","Panasonic Electronic Components","P.10AVCT-ND","6","","カット テープ（CT）","アクティブ","10","51.40000","¥514","9950","13 週間","RES 0.1 OHM 5% 1W 1206","ROHS3対応","鉛フリー","REACHの影響なし"
"ERJ-PA2J101X","Panasonic Electronic Components","P17187CT-ND","7","","カット テープ（CT）","アクティブ","10","13.60000","¥136","14225","13 週間","RES SMD 100 OHM 5% 1/5W 0402","ROHS3対応","鉛フリー","Not Available"
"ERJ-PA2J104X","Panasonic Electronic Components","P17205CT-ND","8","","カット テープ（CT）","アクティブ","10","13.60000","¥136","13776","13 週間","RES SMD 100K OHM 5% 1/5W 0402","ROHS3対応","鉛フリー","Not Available"
"ERJ-PA2J103X","Panasonic Electronic Components","P17199CT-ND","9","","カット テープ（CT）","アクティブ","20","13.60000","¥272","14755","13 週間","RES SMD 10K OHM 5% 1/5W 0402","ROHS3対応","鉛フリー","Not Available"
"ERJ-PA2J102X","Panasonic Electronic Components","P17193CT-ND","10","","カット テープ（CT）","アクティブ","20","13.60000","¥272","17761","13 週間","RES SMD 1K OHM 5% 1/5W 0402","ROHS3対応","鉛フリー","Not Available"
"ERJ-PA2J470X","Panasonic Electronic Components","P17185CT-ND","11","","カット テープ（CT）","アクティブ","10","13.60000","¥136","12679","13 週間","RES SMD 47 OHM 5% 1/5W 0402","ROHS3対応","鉛フリー","Not Available"
"ERJ-PA2J471X","Panasonic Electronic Components","P17191CT-ND","12","","カット テープ（CT）","アクティブ","10","13.60000","¥136","6903","13 週間","RES SMD 470 OHM 5% 1/5W 0402","ROHS3対応","鉛フリー","Not Available"
"INA219AIDCNR","Texas Instruments","296-23770-1-ND","13","","カット テープ（CT）","アクティブ","5","249.00000","¥1,245","15272","20 週間","IC CURRENT MONITOR 1% SOT23-8","ROHS3対応","鉛フリー","REACHの影響なし"
"ESP32-WROOM-32D","Espressif Systems","1904-1023-1-ND","14","","カット テープ（CT）","アクティブ","2","442.00000","¥884","8113","2 週間","WIFI MODULE 32MBITS SPI FLASH","ROHS3対応","鉛フリー","Not Available"
